,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
316,pevek,64.0,RU,1549163129.0,92.0,69.7,170.27,-7.56,16.24
317,roebourne,0.0,AU,1549163129.0,15.0,-20.77,117.15,109.71,3.83
318,puerto narino,40.0,CO,1549159200.0,100.0,-3.77,-70.38,75.2,2.24
319,santa cruz,90.0,US,1549162560.0,82.0,36.97,-122.03,55.4,14.99
320,banff,92.0,CA,1549162836.0,61.0,51.18,-115.57,22.77,1.7
321,spirit river,20.0,CA,1549159200.0,67.0,55.78,-118.84,-25.61,10.29
322,rocha,0.0,UY,1549163133.0,68.0,-34.48,-54.34,61.92,9.42
323,lakes entrance,48.0,AU,1549163133.0,88.0,-37.88,147.99,79.11,0.58
324,bouza,0.0,NE,1549163133.0,36.0,14.42,6.04,58.59,5.84
325,la rioja,76.0,AR,1549163134.0,99.0,-29.41,-66.86,66.42,3.83
326,beringovskiy,88.0,RU,1549163135.0,89.0,63.05,179.32,30.96,28.88
